key,template_x,itemname,value_type,description,application,discovery_rule,template_y,units
"system.cpu.util[,system]","['Template OS Linux APM', 'Template OS Linux', 'Template OS Linux noswap', 'Template OpenStack OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Linux_MySQL', 'Template OS OpenBSD', 'Template OS Solaris']",CPU system time,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Linux APM,%
"system.cpu.util[,steal]","['Template OS Linux APM', 'Template OS Linux', 'Template OS Linux_MySQL', 'Template OS Linux noswap', 'Template OpenStack OS Linux']",CPU steal time,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OS Linux APM,%
"system.cpu.util[,softirq]","['Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS Linux noswap', 'Template OS Linux']",CPU softirq time,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OS Linux APM,%
"system.cpu.util[,nice]","['Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OS Linux noswap', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS OpenBSD', 'Template OpenStack OS Linux']",CPU nice time,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS Linux APM,%
"system.cpu.util[,guest_nice]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OS Linux']",CPU guest nice time,0,The time spent running a niced guest (virtual CPU for guest operating systems),CPU,,Template OS Linux noswap,%
"system.cpu.util[,iowait]","['Template OS Linux APM', 'Template OS Linux noswap', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS Linux', 'Template OS Solaris']",CPU iowait time,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Linux APM,%
"system.cpu.util[,idle]","['Template OS Linux APM', 'Template OS Linux noswap', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS OpenBSD']",CPU idle time,0,The time the CPU has spent doing nothing.,CPU,,Template OS Linux APM,%
"system.cpu.util[,interrupt]","['Template OS Linux APM', 'Template OS Linux noswap', 'Template OS Linux_MySQL', 'Template OS Linux', 'Template OpenStack OS Linux', 'Template OS FreeBSD', 'Template OS OpenBSD']",CPU interrupt time,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS Linux APM,%
system.cpu.util[myCPUUtilization5Min.0],['Template Net D-Link DES 7200 SNMPv2'],CPU utilization,0,"MIB: MY-PROCESS-MIB
CPU utilization in %",CPU,,Template Net D-Link DES 7200 SNMPv2,%
system.cpu.util[agentCPUutilizationIn1min.0],['Template Net D-Link DES_DGS Switch SNMPv2'],CPU utilization,0,"MIB: DLINK-AGENT-MIB
The unit of time is 1 minute. The value will be between 0% (idle) and 100%(very busy).",CPU,,Template Net D-Link DES_DGS Switch SNMPv2,%
system.cpu.util[extremeCpuMonitorTotalUtilization.0],['Template Net Extreme EXOS SNMPv2'],CPU utilization,0,"MIB: EXTREME-SOFTWARE-MONITOR-MIB
Total CPU utlization (percentage) as of last sampling.",CPU,,Template Net Extreme EXOS SNMPv2,%
system.cpu.util[hpSwitchCpuStat.0],['Template Net HP Enterprise Switch SNMPv2'],CPU utilization,0,"MIB: STATISTICS-MIB
The CPU utilization in percent(%).
Reference: http://h20564.www2.hpe.com/hpsc/doc/public/display?docId=emr_na-c02597344&sp4ts.oid=51079",CPU,,Template Net HP Enterprise Switch SNMPv2,%
system.cpu.util[agentSwitchCpuProcessTotalUtilization.0],['Template Net Netgear Fastpath SNMPv2'],CPU utilization,0,"MIB: FASTPATH-SWITCHING-MIB
CPU utilization in %",CPU,,Template Net Netgear Fastpath SNMPv2,%
system.cpu.util[switchCpuUsage.0],['Template Net QTech QSW SNMPv2'],CPU utilization,0,"MIB: QTECH-MIB
CPU utilization in %",CPU,,Template Net QTech QSW SNMPv2,%
system.cpu.util[loadValue.2],['Template Net Ubiquiti AirOS SNMPv1'],CPU utilization,0,"MIB: FROGFOOT-RESOURCES-MIB
5 minute load average of processor load.",CPU,,Template Net Ubiquiti AirOS SNMPv1,%
system.cpu.util[swCpuUsage.0],['Template Net Brocade FC SNMPv2'],CPU utilization,0,"MIB: SW-MIB
System's CPU usage.",CPU,,Template Net Brocade FC SNMPv2,%
"system.stat[cpu,wa]",['Template OS AIX'],CPU iowait time,0,,CPU,,Template OS AIX,%
"system.stat[cpu,us]",['Template OS AIX'],CPU user time,0,,CPU,,Template OS AIX,%
"system.stat[cpu,sy]",['Template OS AIX'],CPU system time,0,,CPU,,Template OS AIX,%
"system.stat[cpu,pc]",['Template OS AIX'],CPU number of physical processors consumed,0,,CPU,,Template OS AIX,
"system.stat[cpu,lbusy]",['Template OS AIX'],CPU logical processor utilization,0,,CPU,,Template OS AIX,%
"system.stat[cpu,id]",['Template OS AIX'],CPU idle time,0,,CPU,,Template OS AIX,%
"system.stat[cpu,ec]",['Template OS AIX'],CPU entitled capacity consumed,0,,CPU,,Template OS AIX,
"system.stat[cpu,app]",['Template OS AIX'],CPU available physical processors in the shared pool,0,,CPU,,Template OS AIX,%
system.stat[ent],['Template OS AIX'],Processor units is entitled to receive,0,,CPU,,Template OS AIX,
"system.stat[faults,cs]",['Template OS AIX'],Kernel thread context switches,0,,CPU,,Template OS AIX,
"system.stat[faults,in]",['Template OS AIX'],Device interrupts,0,,CPU,,Template OS AIX,
"system.stat[faults,sy]",['Template OS AIX'],System calls,0,,CPU,,Template OS AIX,
"system.stat[kthr,r]",['Template OS AIX'],Length of the run queue,0,,CPU,,Template OS AIX,
system.cpu.util[hh3cEntityExtCpuUsage.{#SNMPINDEX}],['Template Net HP Comware HH3C SNMPv2'],{#MODULE_NAME}: CPU utilization,0,"MIB: HH3C-ENTITY-EXT-MIB
The CPU usage for this entity. Generally, the CPU usage
will calculate the overall CPU usage on the entity, and it
is not sensible with the number of CPU on the entity",CPU,Module Discovery,Template Net HP Comware HH3C SNMPv2,%
system.cpu.util[sgiCpuUsage.0],['Template Net Alcatel Timetra TiMOS SNMPv2'],CPU utilization,0,"MIB: TIMETRA-SYSTEM-MIB
The value of sgiCpuUsage indicates the current CPU utilization for the system.",CPU,,Template Net Alcatel Timetra TiMOS SNMPv2,%
system.cpu.util[jnxOperating5MinLoadAvg.{#SNMPINDEX}],['Template Net Juniper SNMPv2'],{#SNMPVALUE}: CPU utilization,0,"MIB: JUNIPER-MIB
The CPU Load Average over the last 5 minutes Here it will be shown as percentage valueZero if unavailable or inapplicable.
Reference: http://kb.juniper.net/library/CUSTOMERSERVICE/GLOBAL_JTAC/BK26199/SRX%20SNMP%20Monitoring%20Guide_v1.1.pdf",CPU,CPU and Memory Discovery,Template Net Juniper SNMPv2,%
system.cpu.util[cpmCPUTotal5min.{#SNMPINDEX}],['Template Module Cisco CISCO-PROCESS-MIB IOS versions 12.0_3_T-12.2_3.5 SNMPv2'],{#SNMPVALUE}: CPU utilization,0,"MIB: CISCO-PROCESS-MIB
The overall CPU busy percentage in the last 5 minute
period. This object deprecates the avgBusy5 object from
the OLD-CISCO-SYSTEM-MIB. This object is deprecated
by cpmCPUTotal5minRev which has the changed range
of value (0..100)
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,CPU Discovery,Template Module Cisco CISCO-PROCESS-MIB IOS versions 12.0_3_T-12.2_3.5 SNMPv2,%
system.cpu.util[cpmCPUTotal5minRev.{#SNMPINDEX}],['Template Module Cisco CISCO-PROCESS-MIB SNMPv2'],#{#SNMPINDEX}: CPU utilization,0,"MIB: CISCO-PROCESS-MIB
The cpmCPUTotal5minRev MIB object provides a more accurate view of the performance of the router over time than the MIB objects cpmCPUTotal1minRev and cpmCPUTotal5secRev . These MIB objects are not accurate because they look at CPU at one minute and five second intervals, respectively. These MIBs enable you to monitor the trends and plan the capacity of your network. The recommended baseline rising threshold for cpmCPUTotal5minRev is 90 percent. Depending on the platform, some routers that run at 90 percent, for example, 2500s, can exhibit performance degradation versus a high-end router, for example, the 7500 series, which can operate fine.
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,CPU Discovery,Template Module Cisco CISCO-PROCESS-MIB SNMPv2,%
"vmware.hv.hw.cpu.threads[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],CPU threads,3,Number of physical CPU threads on the host.,CPU,,Template VM VMware Hypervisor,
"vmware.hv.hw.cpu.num[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],CPU cores,3,Number of physical CPU cores on the host. Physical CPU cores are the processors contained by a CPU package.,CPU,,Template VM VMware Hypervisor,
"vmware.hv.hw.cpu.model[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],CPU model,1,The CPU model.,CPU,,Template VM VMware Hypervisor,
system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],"['Template Module HOST-RESOURCES-MIB SNMPv1', 'Template Module HOST-RESOURCES-MIB SNMPv2', 'Template Net Arista SNMPv2', 'Template Net Mikrotik SNMPv2']",#{#SNMPINDEX}: CPU utilization,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.
Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Module HOST-RESOURCES-MIB SNMPv1,%
system.cpu.util[hrProcessorLoad.{#SNMPINDEX}],"['Template Module HOST-RESOURCES-MIB SNMPv1', 'Template Module HOST-RESOURCES-MIB SNMPv2', 'Template Net Arista SNMPv2', 'Template Net Mikrotik SNMPv2']",{#DEVICE_DESCR}: CPU utilization,0,"MIB: HOST-RESOURCES-MIB
The average, over the last minute, of the percentage of time that this processor was not idle.
Implementations may approximate this one minute smoothing period if necessary.",CPU,CPU Discovery,Template Net Arista SNMPv2,%
"vmware.hv.hw.cpu.freq[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],CPU frequency,3,The speed of the CPU cores. This is an average value if there are multiple speeds. The product of CPU frequency and number of cores is approximately equal to the sum of the MHz for all the individual cores on the host.,CPU,,Template VM VMware Hypervisor,Hz
"vmware.hv.cpu.usage[{$URL},{HOST.HOST}]",['Template VM VMware Hypervisor'],CPU usage,3,Aggregated CPU usage across all cores on the host in Hz. This is only available if the host is connected.,CPU,,Template VM VMware Hypervisor,Hz
"vmware.vm.cpu.usage[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],CPU usage,3,"Current upper-bound on CPU usage. The upper-bound is based on the host the virtual machine is current running on, as well as limits configured on the virtual machine itself or any parent resource pool. Valid while the virtual machine is running.",CPU,,Template VM VMware Guest,Hz
"vmware.vm.cpu.ready[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],CPU ready,3,"Time that the virtual machine was ready, but could not get scheduled to run on the physical CPU during last measurement interval (VMware vCenter/ESXi Server performance counter sampling interval - 20 seconds)",CPU,,Template VM VMware Guest,ms
"vmware.vm.cpu.num[{$URL},{HOST.HOST}]",['Template VM VMware Guest'],Number of virtual CPUs,3,Number of virtual CPUs assigned to the guest.,CPU,,Template VM VMware Guest,
system.cpu.util[chStackUnitCpuUtil1Min.{#SNMPINDEX}],['Template Net Dell Force S-Series SNMPv2'],#{#SNMPINDEX}: CPU utilization,0,"MIB: F10-S-SERIES-CHASSIS-MIB
CPU utilization in percentage for last 1 minute.",CPU,CPU and Memory and Flash Discovery,Template Net Dell Force S-Series SNMPv2,%
system.cpu.util[avgBusy5],['Template Module Cisco OLD-CISCO-CPU-MIB SNMPv2'],CPU utilization,0,"MIB: OLD-CISCO-CPU-MIB
5 minute exponentially-decayed moving average of the CPU busy percentage.
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,,Template Module Cisco OLD-CISCO-CPU-MIB SNMPv2,%
system.cpu.util[snAgGblCpuUtil1MinAvg.0],['Template Module Brocade_Foundry Performance SNMPv2'],CPU utilization,0,"MIB: FOUNDRY-SN-AGENT-MIB
The statistics collection of 1 minute CPU utilization.",CPU,,Template Module Brocade_Foundry Performance SNMPv2,%
system.cpu.util[tpSysMonitorCpu1Minute.{#SNMPINDEX}],['Template Net TP-LINK SNMPv2'],#{#SNMPVALUE}: CPU utilization,0,"MIB: TPLINK-SYSMONITOR-MIB
Displays the CPU utilization in 1 minute.
Reference: http://www.tp-link.com/faq-1330.html",CPU,CPU Discovery,Template Net TP-LINK SNMPv2,%
"grpavg[""Controllers"", ""system.cpu.load[percpu,avg15]"", last, 0]",['Template OpenStack Cluster'],Aggregated Controllers 15 minutes load,0,,Capacity data,,Template OpenStack Cluster,
db.cpu.used.query,['Template OpenStack Cluster'],Number of used CPUs in cluster,3,,Capacity data,,Template OpenStack Cluster,
"grpavg[""Controllers"", ""system.cpu.load[percpu,avg5]"", last, 0]",['Template OpenStack Cluster'],Aggregated Controllers 5 minutes load,0,,Capacity data,,Template OpenStack Cluster,
"grpavg[""Controllers"", ""system.cpu.load[percpu,avg1]"", last, 0]",['Template OpenStack Cluster'],Aggregated Controllers 1 minutes load,0,,Capacity data,,Template OpenStack Cluster,
db.volume.gigabytes.query,['Template OpenStack Cluster'],Gigabytes of volumes,3,,Capacity data,,Template OpenStack Cluster,G
db.volume.error.query,['Template OpenStack Cluster'],Number of volumes in error state,3,,Capacity data,,Template OpenStack Cluster,
db.volume.count.query,['Template OpenStack Cluster'],Number of volumes,3,,Capacity data,,Template OpenStack Cluster,
db.cpu.total.query,['Template OpenStack Cluster'],Total number of CPUs in cluster,3,,Capacity data,,Template OpenStack Cluster,
db.instance.error.query,['Template OpenStack Cluster'],Number of instances in error state,3,,Capacity data,,Template OpenStack Cluster,
db.ram.used.query,['Template OpenStack Cluster'],Used RAM in cluster,3,,Capacity data,,Template OpenStack Cluster,
db.ram.total.query,['Template OpenStack Cluster'],Total amount of RAM in cluster,3,,Capacity data,,Template OpenStack Cluster,
db.services.offline.cinder.query,['Template OpenStack Cluster'],Number of Cinder services in offline state,3,,Capacity data,,Template OpenStack Cluster,
db.services.offline.neutron.query,['Template OpenStack Cluster'],Number of Neutron services in offline state,3,,Capacity data,,Template OpenStack Cluster,
db.services.offline.nova.query,['Template OpenStack Cluster'],Number of Nova services in offline state,3,,Capacity data,,Template OpenStack Cluster,
db.instance.count.query,['Template OpenStack Cluster'],Number of instances,3,,Capacity data,,Template OpenStack Cluster,
db.token.count.query,['Template OpenStack Cluster'],Keystone token count,3,,Capacity data,,Template OpenStack Cluster,
crm.node.check[p_openstack-ceilometer-agent-central],['Template App OpenStack Ceilometer'],Ceilometer Agent Central should run on this node,3,,Ceilometer,,Template App OpenStack Ceilometer,
crm.node.check[p_openstack-ceilometer-alarm-evaluator],['Template App OpenStack Ceilometer'],Ceilometer Alarm Evaluator should run on this node,3,,Ceilometer,,Template App OpenStack Ceilometer,
"net.tcp.service[http,{$IP_MANAGEMENT},8777]",['Template App OpenStack Ceilometer'],Ceilometer API Server is listening on port,3,,Ceilometer,,Template App OpenStack Ceilometer,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-alarm-evaluator]",['Template App OpenStack Ceilometer'],Ceilometer Alarm Evaluator process is running,3,,Ceilometer,,Template App OpenStack Ceilometer,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-alarm-notifier]",['Template App OpenStack Ceilometer'],Ceilometer Alarm Notifier process is running,3,,Ceilometer,,Template App OpenStack Ceilometer,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-api]",['Template App OpenStack Ceilometer'],Ceilometer API process is running,3,,Ceilometer,,Template App OpenStack Ceilometer,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-collector]",['Template App OpenStack Ceilometer'],Ceilometer Collector process is running,3,,Ceilometer,,Template App OpenStack Ceilometer,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-agent-compute]",['Template App OpenStack Ceilometer Compute'],Ceilometer Agent Compute process is running,3,,Ceilometer,,Template App OpenStack Ceilometer Compute,
"proc.num[,ceilometer,,bin/python.*bin/ceilometer-agent-central]",['Template App OpenStack Ceilometer'],Ceilometer Agent Central process is running,3,,Ceilometer,,Template App OpenStack Ceilometer,
osd_count_in,['Template App OpenStack Ceph Cluster'],Ceph osd_count_in,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_active,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_active,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_data_bytes,['Template App OpenStack Ceph Cluster'],Ceph pg_data_bytes,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_count,['Template App OpenStack Ceph Cluster'],Ceph pg_count,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_bytes_used,['Template App OpenStack Ceph Cluster'],Ceph pg_bytes_used,3,,Ceph,,Template App OpenStack Ceph Cluster,
ceph.health,['Template App OpenStack Ceph'],Ceph health is OK,3,,Ceph,,Template App OpenStack Ceph,
quorum_count,['Template App OpenStack Ceph Cluster'],Ceph quorum_count,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_bytes_free,['Template App OpenStack Ceph Cluster'],Ceph pg_bytes_free,3,,Ceph,,Template App OpenStack Ceph Cluster,
osd_count_up,['Template App OpenStack Ceph Cluster'],Ceph osd_count_up,3,,Ceph,,Template App OpenStack Ceph Cluster,
osd_count_out,['Template App OpenStack Ceph Cluster'],Ceph osd_count_out,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_backfill,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_backfill,3,,Ceph,,Template App OpenStack Ceph Cluster,
objects_count,['Template App OpenStack Ceph Cluster'],Ceph objects_count,3,,Ceph,,Template App OpenStack Ceph Cluster,
osd_count_down,['Template App OpenStack Ceph Cluster'],Ceph osd_count_down,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_bytes_total,['Template App OpenStack Ceph Cluster'],Ceph pg_bytes_total,3,,Ceph,,Template App OpenStack Ceph Cluster,
monitor_count,['Template App OpenStack Ceph Cluster'],Ceph monitor_count,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_backfilltoofull,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_backfilltoofull,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_repair,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_repair,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_splitting,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_splitting,3,,Ceph,,Template App OpenStack Ceph Cluster,
pool_count,['Template App OpenStack Ceph Cluster'],Ceph pool_count,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_scrubbing,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_scrubbing,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_replay,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_replay,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_stale,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_stale,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_remapped,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_remapped,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_waitbackfill,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_waitbackfill,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_undersized,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_undersized,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_recovering,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_recovering,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_peering,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_peering,3,,Ceph,,Template App OpenStack Ceph Cluster,
pool_total_bytes_total,['Template App OpenStack Ceph Cluster'],Ceph pool_total_bytes_total,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_peered,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_peered,3,,Ceph,,Template App OpenStack Ceph Cluster,
pool_total_bytes_used,['Template App OpenStack Ceph Cluster'],Ceph pool_total_bytes_used,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_inconsistent,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_inconsistent,3,,Ceph,,Template App OpenStack Ceph Cluster,
pool_total_bytes_free,['Template App OpenStack Ceph Cluster'],Ceph pool_total_bytes_free,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_incomplete,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_incomplete,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_clean,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_clean,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_creating,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_creating,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_degraded,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_degraded,3,,Ceph,,Template App OpenStack Ceph Cluster,
pg_state_count_down,['Template App OpenStack Ceph Cluster'],Ceph pg_state_count_down,3,,Ceph,,Template App OpenStack Ceph Cluster,
probe.ceph,['Template App OpenStack Ceph Cluster'],Probe ceph metrics,3,,Ceph,,Template App OpenStack Ceph Cluster,
pool_total_percent_free,['Template App OpenStack Ceph Cluster'],Ceph pool_total_percent_free,0,,Ceph,,Template App OpenStack Ceph Cluster,
pool_total_percent_used,['Template App OpenStack Ceph Cluster'],Ceph pool_total_percent_used,0,,Ceph,,Template App OpenStack Ceph Cluster,
"proc.num[,,,/usr/bin/ceph-mds]",['Template App OpenStack Ceph MDS'],Number of ceph-mds processes,3,,Ceph MDS,,Template App OpenStack Ceph MDS,
"proc.num[,,,/usr/bin/ceph-mgr]",['Template App OpenStack Ceph MGR'],Number of ceph-gr processes,3,,Ceph MGR,,Template App OpenStack Ceph MGR,
"proc.num[,,,/usr/bin/ceph-mon]",['Template App OpenStack Ceph MON'],Number of ceph-mon processes,3,,Ceph MON,,Template App OpenStack Ceph MON,
"proc.num[,,,/usr/bin/ceph-osd]",['Template App OpenStack Ceph OSD'],Number of running Ceph OSD processes,3,,Ceph OSD,,Template App OpenStack Ceph OSD,
"proc.num[,cinder,,bin/python.*bin/cinder-api]",['Template App OpenStack Cinder API'],Cinder API server process is running,3,,Cinder API,,Template App OpenStack Cinder API,
"net.tcp.service[http,{$IP_MANAGEMENT},8776]",['Template App OpenStack Cinder API'],Cinder API Server is listening on port,3,,Cinder API,,Template App OpenStack Cinder API,
cinder.api.status,['Template App OpenStack Cinder API check'],Cinder API test succeeded,3,,Cinder API check,,Template App OpenStack Cinder API check,
"proc.num[,cinder,,bin/python.*bin/cinder-scheduler]",['Template App OpenStack Cinder Scheduler'],Cinder Scheduler Server process is running,3,,Cinder Scheduler,,Template App OpenStack Cinder Scheduler,
"proc.num[,cinder,,bin/python.*bin/cinder-volume]",['Template App OpenStack Cinder Volume'],Cinder Volume process is running,3,,Cinder Volume,,Template App OpenStack Cinder Volume,
"jmx[""java.lang:type=ClassLoading"",TotalLoadedClassCount]",['Template App Generic Java JMX'],cl Total Loaded Class Count,3,,Classes,,Template App Generic Java JMX,
"jmx[""java.lang:type=ClassLoading"",LoadedClassCount]",['Template App Generic Java JMX'],cl Loaded Class Count,3,,Classes,,Template App Generic Java JMX,
"jmx[""java.lang:type=ClassLoading"",UnloadedClassCount]",['Template App Generic Java JMX'],cl Unloaded Class Count,3,,Classes,,Template App Generic Java JMX,
"vmware.cluster.status[{$URL},{#CLUSTER.NAME}]",['Template VM VMware'],"Status of ""{#CLUSTER.NAME}"" cluster",3,,Clusters,Discover VMware clusters,Template VM VMware,
"jmx[""java.lang:type=Compilation"",TotalCompilationTime]",['Template App Generic Java JMX'],comp Accumulated time spent in compilation,0,,Compilation,,Template App Generic Java JMX,s
